address,location/lat,location/lng
"0 Beach Bluff Terrace Cape Elizabeth, ME 04107",43.6022682,-70.2170559
"35 Beach Bluff Terrace Cape Elizabeth, ME 04107",43.602017,-70.2203584
"2 Beach Rose Lane Cape Elizabeth, ME 04107",43.568767,-70.2273606
"5 Beach Rose Lane Cape Elizabeth, ME 04107",43.5694103,-70.2268726
"5 Beacon Lane Cape Elizabeth, ME 04107",43.5642785,-70.2023322
"4 Beacon Lane Cape Elizabeth, ME 04107",43.5646981,-70.2024521
"1 Beacon Lane Cape Elizabeth, ME 04107",43.5647505,-70.2017141
"6 Beacon Lane Cape Elizabeth, ME 04107",43.5643926,-70.2027739
"2 Beacon Lane Cape Elizabeth, ME 04107",43.5650347,-70.2020703
"15 Beacon Lane Cape Elizabeth, ME 04107",43.5635214,-70.20335540000000
"9 Beacon Lane Cape Elizabeth, ME 04107",43.563999,-70.20266940000000
"16 Beacon Lane Cape Elizabeth, ME 04107",43.5635911,-70.2040612
"20 Beacon Lane Cape Elizabeth, ME 04107",43.56330820000000,-70.2045665
"0 Beacon Lane Cape Elizabeth, ME 04107",43.5650148,-70.2020393
"22 Beacon Lane Cape Elizabeth, ME 04107",43.5630896,-70.20513130000000
"10 Beacon Lane Cape Elizabeth, ME 04107",43.5640989,-70.2032186
"17 Beacon Lane Cape Elizabeth, ME 04107",43.5633148,-70.2038846
"0 Beacon Lane Cape Elizabeth, ME 04107",43.5650148,-70.2020393
"12 Beckys Cove Lane Cape Elizabeth, ME 04107",43.59715730000000,-70.2179797
"11 Beckys Cove Lane Cape Elizabeth, ME 04107",43.5969302,-70.21820390000000
"51 Belfield Road Cape Elizabeth, ME 04107",43.6101191,-70.22382620000000
"11 Belfield Road Cape Elizabeth, ME 04107",43.611916,-70.229568
"19 Belfield Road Cape Elizabeth, ME 04107",43.6113101,-70.22854750000000
"4 Belfield Road Cape Elizabeth, ME 04107",43.61305370000000,-70.2294812
"40 Belfield Road Cape Elizabeth, ME 04107",43.6114206,-70.2244915
"18 Belfield Road Cape Elizabeth, ME 04107",43.612397,-70.2269614
"32 Belfield Road Cape Elizabeth, ME 04107",43.611751,-70.2258797
"41 Belfield Road Cape Elizabeth, ME 04107",43.6107489,-70.2254107
"46 Belfield Road Cape Elizabeth, ME 04107",43.6112825,-70.2236297
"55 Belfield Road Cape Elizabeth, ME 04107",43.6098794,-70.2224382
"20 Belfield Road Cape Elizabeth, ME 04107",43.6115449,-70.22670940000000
"10 Belfield Road Cape Elizabeth, ME 04107",43.6130654,-70.2283425
"25 Belfield Road Cape Elizabeth, ME 04107",43.610617,-70.2279623
"59 Belfield Road Cape Elizabeth, ME 04107",43.6094875,-70.223542
"33 Belfield Road Cape Elizabeth, ME 04107",43.610632,-70.2262253
"2 Berman Road Cape Elizabeth, ME 04107",43.5834464,-70.2301652
"4 Berman Road Cape Elizabeth, ME 04107",43.5830539,-70.2300893
"16 Beverly Terrace Cape Elizabeth, ME 04107",43.6191858,-70.2508067
"8 Beverly Terrace Cape Elizabeth, ME 04107",43.6380263,-70.23885490000000
